6671118,"Comin' in on a wing and a prayer (Мы летим, ковыляя во мгле)",Harold Adamson & Jimmie McHugh,2:19
6671118,Ты Не Считаешь,Noize MC,4:35
6671118,Мой рай(exclusive),Noize Mc,4:35
6671118,На Марсе Классно,Noize MC,4:14
6671118,Мизантроп-Рэп,Noize MC,2:56
6671118,Устрой Дестрой,Noize MC,3:59
90061004,плановая.... плановая... моя девочка родная..добрая и ласковая...,Mc Avetis ft Баста( new 2010),4:03
6074015,Don't Let Go,Bryan Adams with Sarah McLachlan,4:02
6074015,End Title,Bear McCreary (Battlestar Galactica - The Plan OST),4:09
10883825,How We Do,Mc Avetis,4:24
10883825,Не коммерция,"MC Bandit feat. MC Avetis, Витя АК",2:59
10883825,Любят леди,MC Avetis feat. Kristina,3:40
10883825,Po-Hoo-You,9 Грамм a.k.a. MC Avetis,2:43
10883825,"В Небесах [при уч. Mic Dogg, DJ Wide]",9 ГРАММ a.k.a. MC AVETIS,3:23
10883825,Гастролер,9 ГРАММ a.k.a. MC AVETIS,3:05
10883825,Ты не знаеш её,9 Грамм a.k.a. MC Avetis,4:11
10883825,Секс,9 ГРАММ a.k.a. MC AVETIS - НАСТОЯЩИЙ РЭП,3:47
10883825,Ж.Э.К.А (320kbps),19 - Вибе (ТГК) & MC Хмурый,2:47
10883825,- Девочка - Брюнетка,Баста feat Mc Moskwa,2:49
10883825,Настоящий рэп,"Mic Dog ft. MC Avetis, Bugz, Аик, Витя АК",4:17
10883825,next people,Guf Ft Dino Mc47,4:07
10883825,Эй детка,9 ГРАММ a.k.a. MC AVETIS,3:49
10883825,Чё ты дёргаешься,9 Грамм (MC Avetis),2:54
10883825,"Такого рода рэп при уч. Витя АК, Mic Dogg, SDF",9 ГРАММ a.k.a. MC AVETIS,3:37
10883825,Плановая девочка,Mc Avetis ft Баста,4:03
10883825,Знай себе цену.,Монтано feat MC-3,3:46
10883825,Дай денег,┴═╦╕Ak 47  feat MC Avetis,3:57
29792972,Летят недели (2016)Fado prod,Mc MuRkA,3:36
29792972,Не как все (new 2013),Жека (Кто ТАМ) & Still'ze MC,1:57
29792972,comon take me higher burn like the fire,DJ Antonio & MC Van40 feat. Tiana,3:17
29792972,Делим на двоих,"Ямыч (Восточный Округ) feat. КГ.Б, Monah McNucken",5:29
29792972,Схожу с ума,MainstreaM One & Faberlique Feat. MC 77,5:01
29792972,"либо люби меня,либо иди нахуй,бля",♔ loc-dog ft. 2'mc & slide ♔,4:47
29792972,Похуисты,Noize MC Ft. Anacondaz,4:32
29792972,Игрок (LoKee Prod.),Shot & M1ss MC,2:51
29792972,Любви нет,Noize MC,2:59
29792972,"шаг влево,шаг вперед, оп сука делай оп  ножками топ, в ладоши хлоп оп сука",► MC Zali,5:13
48009455,Get Lucky,Anna McLuckie,3:21
48009455,Тёмная ночь.,Noize MC,1:54
48009455,I Just want to be a Superhero,Tim McMorris,4:06
48009455,It's a Beautiful Day,Tim McMorris,2:15
48009455,"Никто не забыт, ничто не забыто",Dino MC 47,4:07
48009455,Выдыхай,Noize MC,3:12
48009455,Готов ли ты?,Mc Белый & Masta,3:35
48009455,Ты больше не моя,Dino MC 47 feat. David,3:42
48009455,Just The Way You Are,Brian McFadden,3:42
